Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-08-10,35.9479,36.7161,35.6722,36.0464,339323.28942378
2022-08-11,36.7358,36.7358,35.7707,36.1449,73286.463082576
2022-08-12,36.2237,37.3859,36.1449,36.9328,147584.22208954
2022-08-16,37.6025,38.1147,36.657,37.3662,302498.30891616
2022-08-17,37.4252,37.9177,36.657,37.5237,266721.17719766
2022-08-18,37.5237,38.1147,37.0707,37.6025,153199.14825605
2022-08-19,37.1495,38.3313,37.051,37.5237,194108.91139801
2022-08-22,37.504,37.5434,35.16,36.1449,68503.114588825
2022-08-23,35.357,37.2283,35.357,37.1298,117985.53986891
2022-08-24,36.6767,37.3268,36.3419,37.0707,92334.567039864
2022-08-25,37.1495,38.5086,37.0904,37.7207,97096.593029186
2022-08-26,37.4646,38.3707,37.051,37.4252,99678.6467799
2022-08-29,36.6767,36.6767,35.5934,36.0464,44136.568812332
2022-08-30,36.4207,36.7161,35.0222,35.16,40318.825162044
2022-08-31,35.8691,35.8691,34.3721,34.904,70788.683992228
2022-09-01,34.2736,35.16,33.9782,34.6479,57782.971647404
2022-09-02,34.6676,35.1206,33.9782,34.4115,88980.841700263
2022-09-05,33.6827,34.2146,33.0524,33.8009,233446.90135628
2022-09-06,33.4857,34.4312,33.4857,33.9585,77452.474305218
2022-09-07,33.1115,35.2979,33.0918,34.9828,255715.71883982
2022-09-08,34.7661,35.2585,33.7418,34.4312,229665.71057073
2022-09-09,34.6479,35.5343,33.9782,35.5343,78358.173064807
2022-09-12,34.8252,35.7904,34.5297,35.1403,93394.600117232
2022-09-13,35.751,35.751,33.5054,33.7812,76548.806260336
2022-09-14,34.3918,35.2585,33.9388,34.7858,242471.39751686
2022-09-15,34.8055,35.2979,33.9782,35.0812,187884.77081921
2022-09-16,34.3721,35.4555,32.6388,33.8994,461837.32309064
2022-09-19,33.3479,34.7464,33.3479,34.3721,69458.56585875
2022-09-20,34.2736,34.7661,33.9388,34.5888,92050.2669808
2022-09-21,34.2736,35.0222,33.9979,35.0222,59918.268162446
2022-09-22,34.313,35.0222,33.86,33.9585,71263.871233807
2022-09-23,33.8797,34.0373,32.5009,33.21,102496.26343669
2022-09-26,32.6191,33.7221,32.2842,33.0721,107618.74128662
2022-09-27,33.7418,33.8403,32.5994,33.1115,76535.606614736
2022-09-28,32.4418,32.6782,31.3781,31.4766,433167.69284874
2022-09-29,31.4766,31.8706,30.1569,30.1569,184373.66508977
2022-09-30,30.4917,30.5508,28.6599,29.4478,462228.23567185
2022-10-03,29.4478,29.4478,27.8917,29.0538,506521.16951667
2022-10-04,29.0735,30.3735,29.0735,29.6447,396653.41169139
2022-10-05,29.3296,30.6887,29.1523,30.2554,110535.86296408
2022-10-06,30.5311,30.8463,29.2705,29.6644,208267.05433939
2022-10-07,29.5266,29.6644,28.6796,29.0538,153925.12876402
2022-10-10,28.5417,29.4281,28.3644,29.0341,126805.94920137
2022-10-11,29.0538,29.5462,28.4235,29.4084,140671.66922487
2022-10-12,29.4084,30.8266,29.3887,30.2357,225498.68399073
2022-10-13,31.0039,31.0433,29.6447,29.9599,408818.40814726
2022-10-14,31.319,31.319,30.0387,30.5311,265531.17837901
2022-10-17,30.5311,31.3978,30.1569,31.122,203499.9515633
2022-10-18,31.516,32.7569,31.516,32.1069,170973.99409167
2022-10-19,32.6978,32.6978,30.5311,30.8069,165985.54341246
2022-10-20,30.6493,31.2599,30.1175,31.2599,235602.5050184
2022-10-21,30.6296,31.2402,29.8811,30.1175,133193.56231413
2022-10-24,30.3735,31.7327,30.216,31.2402,156333.55640723
2022-10-25,32.3236,32.3236,30.6296,30.6887,84494.992911175
2022-10-26,31.2796,32.3236,30.7084,32.0084,200710.76491242
2022-10-27,31.8509,32.3039,31.2205,31.5554,207523.81275641
2022-10-28,31.6933,33.013,31.3387,32.4024,138805.44240858
2022-10-31,32.4024,33.3873,32.0478,33.0721,156272.634966
2022-11-02,33.5842,35.8297,33.4857,35.751,481916.01476203
2022-11-03,35.4555,35.4555,33.8797,33.8797,234389.15298061
2022-11-04,34.2736,34.8843,33.9782,33.9782,169208.28765342
2022-11-07,33.9979,35.0222,33.6039,34.3524,192139.11813164
2022-11-08,34.3524,34.7267,33.8797,34.057,66355.633785538
2022-11-09,34.0964,34.4706,33.6433,33.8797,80860.013584571
2022-11-10,33.8797,34.7661,33.4464,34.4706,286746.0549293
2022-11-14,37.4252,41.089,37.4055,38.4101,2561946.6290361
2022-11-15,39.395,40.7147,38.1934,39.4344,2240215.4211243
2022-11-16,39.3556,39.6905,38.5283,38.8829,884418.90016866
2022-11-17,39.6511,39.6905,38.1934,38.4101,647427.38629026
2022-11-18,38.3707,39.5132,37.9768,38.9617,695337.02302932
2022-11-21,40.3602,41.9951,39.2374,39.395,1275885.8664968
2022-11-22,39.6905,39.6905,38.351,39.1586,829586.5569914
2022-11-23,39.4344,40.1238,38.8829,39.3162,877259.61546702
2022-11-24,39.6708,39.7889,39.001,39.395,608319.8824513
2022-11-25,40.2814,40.9708,39.4344,39.9662,1058045.0076685
2022-11-28,40.2223,40.2223,38.0359,38.351,1205962.26697
2022-11-29,38.3116,39.1389,36.9525,38.6662,1627809.7406813
2022-11-30,39.3753,41.089,39.001,40.4784,17164536.868115
2022-12-01,39.7102,40.3799,38.1147,38.6465,1812437.2451095
2022-12-02,39.3753,39.3753,36.854,37.2283,905253.01771128
2022-12-05,37.7207,38.3313,37.1298,38.0359,412002.56880878
2022-12-06,38.3904,38.9223,37.5828,38.7844,693200.71115692
2022-12-07,38.9813,39.6905,38.2919,38.3707,408124.91907462
2022-12-08,38.7844,39.1783,38.1344,38.8041,436551.87890896
2022-12-09,39.0404,39.5723,38.3116,39.2768,871821.36148006
2022-12-12,39.2768,39.2965,38.5283,38.7253,401002.18723771
2022-12-13,39.2768,39.592,38.2919,38.5677,1138824.8080221
2022-12-14,39.1389,39.8677,38.6859,38.9026,609510.89662731
2022-12-15,39.2965,39.2965,37.3662,37.5631,418851.15416016
2022-12-16,38.0162,38.1344,36.9919,37.6813,859793.43826695
2022-12-19,37.6813,38.4101,37.5434,38.1738,254428.2457152
2022-12-20,37.9177,38.7844,37.6222,38.7844,230700.35971425
2022-12-21,38.8041,39.5723,38.548,39.3162,248984.91494148
2022-12-22,39.5132,39.9859,39.1192,39.4935,312751.38747483
2022-12-23,39.6905,39.8283,38.8435,39.1192,319703.5392763
2022-12-27,39.4935,39.8086,38.942,39.592,102578.50738235
2022-12-28,39.6511,40.4587,39.2965,39.6708,184428.49438688
2022-12-29,39.7102,40.2617,39.198,39.395,206826.26225435
2022-12-30,39.592,39.592,38.4692,38.9223,354883.64087076
2023-01-02,39.395,39.7496,39.0404,39.6511,100731.57235579
2023-01-03,39.7692,40.2223,39.3753,39.4344,974128.76844895
2023-01-04,39.9662,40.0844,39.2965,39.5329,940900.18368849
2023-01-05,39.8283,41.1087,39.8086,40.5178,1379543.6987463
2023-01-09,41.2663,41.6799,40.5571,40.892,634501.88717639
2023-01-10,40.8723,41.4632,40.6753,40.9314,808708.77908256
